neos-4738912-atrato,744.0,-1,-1,737.0,-1.0,-1.0,499.0,-1.0,-1.0,499.0,-1.0,-1.0
rocII-5-11,1800,-11.77148558014753,-6.6746588199894985,1800.0,-11.771115608005184,-6.6746588199894985,1800.0,-11.769515503146904,-6.674231682703168,1800.0,-11.76939274539345,-6.674231682703168
proteindesign121hz512p9,1800,1437.8660208770978,1509.0,1800.0,Inf,Inf,1800.0,1437.783506518498,1490.0,1794.820229279,Inf,Inf
neos-4763324-toguru,1800,1195.6397678403273,2237.838722004487,1800.0,1195.6397678403273,2237.838722004487,1800.0,1194.687728945132,2128.9733081316363,1800.0,1194.687728945132,2128.9733081316363
rococoB10-011000,1800,16637.98013010525,19458.0,1800.0,16626.420721598166,19547.0,1800.0,16353.076047938679,19877.0,1800.0,16262.140208330939,19588.0
proteindesign122trx11p8,1800,1732.089525717015,1767.0,1800.0,Inf,Inf,1800.0,1735.6931739577644,1767.0,1800.0,68.0,1782.0
qap10,42.0,-1,-1,46.0,-1.0,-1.0,52.0,-1.0,-1.0,56.0,-1.0,-1.0
neos-5049753-cuanza,1800,Inf,Inf,1800.0,Inf,Inf,1794.87972532,Inf,Inf,1794.87972532,Inf,Inf
rococoC10-001000,714.0,-1,-1,1800.0,11206.316695158683,11460.0,1675.0,-1.0,-1.0,1110.0,-1.0,-1.0
roi2alpha3n4,588.0,-1,-1,697.0,-1.0,-1.0,584.0,-1.0,-1.0,621.0,-1.0,-1.0
radiationm18-12-05,1800,17564.0139440082,17567.0,1800.0,17563.440205027644,19846.0,1800.0,17563.84580830628,18221.0,1800.0,17564.0879117883,19199.0
neos-5052403-cygnet,1800,179.50037100659014,189.0,1800.0,Inf,Inf,1800.0,179.62101066360756,182.0,1800.0,179.62101066360756,182.0
roi5alpha10n8,1800,-70.56758899010666,-41.52080202744,1800.0,-71.44374234285449,-45.41526300164,1800.0,-70.19785923717572,-46.665411641489996,1800.0,-70.6237585529813,-45.86337653825
