Name(Seed 0),Org,,,Org-1,,,2prob,,,2prob-1,,
swath1,21.404425,-1,-1,26.012796,-1,-1,22.125909,-1,-1,22.50825,-1,-1
swath3,219.58627,-1,-1,771.535786,-1,-1,747.579361,-1,-1,769.31833,-1,-1
radiationm40-10-02,1800,155321.40462962963,225795,1800,155321.98536744097,222600,1800,155320.62595739902,224196,1800,155321.47283145634,211378
gfd-schedulen180f7d50m30k18,1800,Inf,Inf,1800,Inf,Inf,1789.007504,Inf,Inf,1789.007504,Inf,Inf
tbfp-network,949.753971,-1,-1,925.477017,-1,-1,1091.843806,-1,-1,1087.204697,-1,-1
neos-3656078-kumeu,1800,Inf,Inf,1800,Inf,Inf,1798.773086,Inf,Inf,1798.773086,Inf,Inf
glass4,400.880531,-1,-1,398.063195,-1,-1,239.817586,-1,-1,237.446904,-1,-1
tr12-30,685.052693,-1,-1,690.485419,-1,-1,876.349097,-1,-1,870.292995,-1,-1
neos-3754480-nidda,1800,-300985.2232,13511.434635861462,1800,-300659.3337,13511.434635861462,1800,-320794.9685,13212.88355,1800,-321535.5028,13212.88355
gmu-35-40,1800,-2.41E+06,-2.41E+06,1800,-2.41E+06,-2.41E+06,1800,-2.41E+06,-2.41E+06,1800,-2.41E+06,-2.41E+06
traininstance2,1800,0,78230,1800,12,79360.00000000001,1800,0,80360.00000003158,1800,29,77380
neos-3988577-wolgan,1800,Inf,Inf,1800,Inf,Inf,1798.219634,Inf,Inf,1798.219634,Inf,Inf
gmu-35-50,1800,-2.61E+06,-2.61E+06,1800,-2.61E+06,-2.61E+06,1800,-2.61E+06,-2.61E+06,1800,-2.61E+06,-2.61E+06
graph20-20-1rand,9.16059,-1,-1,9.052131,-1,-1,10.693757,-1,-1,10.652301,-1,-1
traininstance6,1800,3720,28530,1800,1680,28290,1800,2140.5060897484473,28420,1800,4220,28360.00000000726
neos-4300652-rahue,1800,0.22958333333333333,2.9733,1800,0.06145,2.9072,1800,0.059926667,2.7783999999999955,1800,0.005991667,2.837899999999996
trento1,1800,5.1845668018387435e6,5.290477999999996e6,1800,5.184042043306333e6,5.493505e6,1800,5.1845668018387435e6,5.290477999999996e6,1800,5.184042043306333e6,5.493505e6
triptim1,896.022096,-1,-1,876.042492,-1,-1,620.360693,-1,-1,622.383763,-1,-1
neos-4387871-tavua,1800,28.09989661,35.1421,1800,28.08732732016524,35.1421,1800,27.495315177450877,33.384730000000005,1800,27.495315177450877,33.384730000000005
uccase9,1800,10874.207841393758,11327.910805669368,1800,10868.222794966885,11723.58600806954,1800,10868.222794966885,11723.58600806954,1800,10868.222794966885,11723.58600806954
uct-subprob,1781.629875,-1,-1,1768.244318,-1,-1,1800,301.13417098636455,314,1800,301.1327903688914,314
unitcal_7,603.512432,-1,-1,496.742408,-1,-1,674.502643,-1,-1,550.452517,-1,-1
var-smallemery-m6j6,1800,-152.3689375,-147.25,1800,-151.9153012,-148.4375,1800,-151.8668833,-149.375,1800,-151.9441315,-149.375
wachplan,1800,-9,-8,1800,-9,-8,1706.261949,-1,-1,1722.370265,-1,-1
30n20b8,139.015654,-1,-1,238.765111,-1,-1,178.29938,-1,-1,127.710087,-1,-1
graphdraw-domain,1128.474458,-1,-1,1145.847095,-1,-1,891.097911,-1,-1,892.126302,-1,-1
neos-4413714-turia,1800,45.018298509927426,47.34351696,1800,Inf,Inf,1800,Inf,Inf,1800,Inf,Inf
